name,price,negotiable,date,url,img,location
Portátil RoG Zephyrus RTX 2070 i7-9750H 32GB 1TB 240Hz (C/ garantia),930 €,True,18  Mar,https://www.olx.pt/d/anuncio/porttil-rog-zephyrus-rtx-2070-i7-9750h-32gb-1tb-240hz-c-garantia-IDH0X1Y.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/mfo6ikhca7l4-PT/image;s=644x461,"Almargem Do Bispo, Pêro Pinheiro E Montelavar"
MSI Geforce RTX 2070 Super Gaming X Trio. Como nova,730 €,False,18  Mar,https://www.olx.pt/d/anuncio/msi-geforce-rtx-2070-super-gaming-x-trio-como-nova-IDGIKX3.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/9zj18h6gkx5q2-PT/image;s=644x461,"Oliveira De Azeméis, Santiago De Riba-Ul, Ul, Macinhata Da Seixa E Madail"
PCSpecialist laptop - i7-10875H / RTX 2070 / 32GB / 500GB + 1TB ssd,1.650 €,True,18  Mar,https://www.olx.pt/d/anuncio/pcspecialist-laptop-i7-10875h-rtx-2070-32gb-500gb-1tb-ssd-IDH106W.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/ikfum7mkssy22-PT/image;s=644x461,São Domingos de Benfica
Torre Gaming - Gigabyte RTX 2070 Super; Ryzen 5 3600x; 16GB Ram; 500GB,1.000 €,True,18  Mar,https://www.olx.pt/d/anuncio/torre-gaming-gigabyte-rtx-2070-super-ryzen-5-3600x-16gb-ram-500gb-IDH08eC.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/rcj98qd5fr93-PT/image;s=644x461,Santo António dos Olivais
PC Gaming RTX 2070,1.350 €,False,17  Mar,https://www.olx.pt/d/anuncio/pc-gaming-rtx-2070-IDH1pbM.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/kqq7derxf69e2-PT/image;s=644x461,Nossa Senhora da Piedade
ASUS ROG Strix G15 (i7-10750H/16GB/1TB SSD/RTX 2070 8GB) - NOVO,1.229 €,False,17  Mar,https://www.olx.pt/d/anuncio/asus-rog-strix-g15-i7-10750h-16gb-1tb-ssd-rtx-2070-8gb-novo-IDGiwmH.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/b29y426ojpti2-PT/image;s=644x461,Alvalade
Pc gamer/ryzen 7 3700x/rtx 2070s,1.700 €,False,14  Mar,https://www.olx.pt/d/anuncio/pc-gamer-ryzen-7-3700x-rtx-2070s-IDGXPVy.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/zv4ke5mlyzm1-PT/image;s=644x461,Palmela
"OMEN X 15-DG0001NP Intel Core i7, 32GB RAM, 512GB SSD, NVIDIA RTX 2070",2.199 €,True,14  Mar,https://www.olx.pt/d/anuncio/omen-x-15-dg0001np-intel-core-i7-32gb-ram-512gb-ssd-nvidia-rtx-2070-IDGXNe3.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/s9eqkziphyjo-PT/image;s=644x461,Queluz E Belas
RTX 2070 MSI usada,400 €,False,14  Mar,https://www.olx.pt/d/anuncio/rtx-2070-msi-usada-IDH0RCV.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/t7qaqwg6dkq63-PT/image;s=644x461,Castelo Branco
PC/torre gaming ryzen 5 5600x rtx 2070 branca,1.100 €,False,14  Mar,https://www.olx.pt/d/anuncio/pc-torre-gaming-ryzen-5-5600x-rtx-2070-branca-IDH0QPn.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/nzbajktugqpg-PT/image;s=644x461,Valongo
PC Gaming Ryzen 5 3600 RTX 2070 Super Gigabyte,900 €,True,13  Mar,https://www.olx.pt/d/anuncio/pc-gaming-ryzen-5-3600-rtx-2070-super-gigabyte-IDGRpbG.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/eqmrhi78i9c61-PT/image;s=644x461,Santa Marinha E São Pedro Da Afurada
"Portatil com garantia i7-10750h, 1T SSD, 16Gb RAM, RTX 2070 QMax",975 €,False,12  Mar,https://www.olx.pt/d/anuncio/portatil-com-garantia-i7-10750h-1t-ssd-16gb-ram-rtx-2070-qmax-IDGBGwu.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/u23o42zegyri3-PT/image;s=644x461,Carcavelos E Parede
RTX 2070 SUPER MINI,600 €,False,12  Mar,https://www.olx.pt/d/anuncio/rtx-2070-super-mini-IDGXfkf.html#79a6aee85e,https://ireland.apollo.olxcdn.com:443/v1/files/70501ewvz6xi-PT/image;s=644x461,"Gondomar (São Cosme), Valbom E Jovim"
